"time","T_S","V_l","p_S","qm_S"
1285.2,225.88392099116004,62.35734969784097,25.918449777874184,50.83689955574837
1296,226.35912729426025,62.641113303027815,26.14908559856365,51.2981711971273
1306.8,226.82888652153713,62.93266206130686,26.37864172521323,51.75728345042646
1317.6,227.2969861818865,63.22812940423502,26.60894043157892,52.21788086315784
1328.4,227.7666794487036,63.52399001113286,26.84158860796813,52.68317721593626
1339.2,228.2407089468544,63.81706320250461,27.07798117973581,53.15596235947162
1350,228.7213280242272,64.10451480581499,27.31930418471644,53.63860836943288
1360.8,229.21032466641088,64.38385604351313,27.56653975276034,54.13307950552068
1371.6,229.7090521937722,64.6529375271321,27.820474926041207,54.640949852082414
1382.4,230.21847758958097,64.90993480300155,28.081719906777252,55.163439813554504
1393.2,230.73922676559846,65.15333097244785,28.350725373314827,55.701450746629654
1404,231.27161221994766,65.38190309535372,28.62779117499572,56.25558234999144
1414.8,231.8156528610598,65.5947109083206,28.913071088644898,56.826142177289796
1425.6,232.3711027656533,65.79108195845326,29.20658233475393,57.41316466950786
1436.4,232.93749273035758,65.97058991792693,29.508222216849045,58.01644443369809
1447.2,233.51418090433276,66.1330274319212,29.817790342856956,58.63558068571391
1458,234.10035500634729,66.27839517248509,30.134985579949234,59.26997115989847
1468.8,234.69507655965378,66.40687535221839,30.459425901971816,59.91885180394363
1479.6,235.29729693886736,66.51881525097674,30.790653735090412,60.581307470180825
1490.4,235.90587855568958,66.61470864156628,31.128144569102005,61.25628913820401
1501.2,236.51962358886135,66.69517569514575,31.47132041688737,61.94264083377474
1512,237.13729278829476,66.76094465897256,31.819558542435576,62.63911708487115
1522.8,237.75762638895958,66.81283349828594,32.17220205917386,63.344404118347725
1533.6,238.37936212924478,66.85173230034604,32.52856962290671,64.05713924581342
1544.4,239.00125043043136,66.87858729137729,32.88796417769963,64.77592835539926
1555.2,239.62206893643702,66.89438555797234,33.24968195189762,65.49936390379524
1566,240.2406355373256,66.90014072333918,33.61302115616135,66.2260423123227
1576.8,240.8558198990827,66.89687965131048,33.97729032397381,66.95458064794762
1587.6,241.4665537856962,66.88562978960707,34.34181638351865,67.6836327670373
1598.4,242.07183946889256,66.86740825759932,34.705951954845176,68.41190390969035
1609.2,242.67075669271048,66.84321147414373,35.06908204896863,69.13816409793726
1620,243.26246818158018,66.8140061150631,35.430630069200646,69.86126013840129
1630.8,243.84622367635973,66.78072121782945,35.79006301500347,70.58012603000694
1641.6,244.42136308051965,66.74424097952677,36.14689616631321,71.29379233262642
1652.4,244.98731742581947,66.7053994344073,36.500696381430224,72.00139276286045
1663.2,245.54360935235377,66.66497540890208,36.85108499065346,72.70216998130692
1674,246.08985212024993,66.62368874597793,37.197739637189095,73.39547927437819
1684.8,246.6257474365733,66.58219752781386,37.54039520352149,74.08079040704298
1695.6,247.15108264787273,66.54109591992452,37.878844154861156,74.75768830972231
1706.4,247.66572594433808,66.50091357949245,38.21293542085755,75.4258708417151
1717.2,248.16962156098532,66.46211525483731,38.54257308269067,76.08514616538135
1728,248.66278385048918,66.42510136269955,38.867714157660465,76.73542831532093
1738.8,249.14528959738595,66.39021007622789,39.1883650604844,77.3767301209688
1749.6,249.6172717064286,66.35771853601395,39.50457882289254,78.00915764578508
1760.4,250.07891257645963,66.32784442542484,39.816452016774484,78.63290403354897
1771.2,250.53940058175522,66.30074762560507,40.124121619389776,79.24824323877955
1782,250.9868164833639,66.27653335872259,40.4277606059519,79.8555212119038
1792.8,251.42611716680312,66.25526732898555,40.72756367122613,80.45512734245226
1803.6,251.85775490934088,66.23696115536842,41.02375748817052,81.04751497634103
1814.4,252.28219685923852,66.22158974834083,41.31658659023115,81.6331731804623
1825.2,252.69992265075723,66.2090884423578,41.60631179371471,82.21262358742942
1836,253.1114136489913,66.19936535574276,41.893202719912274,82.78640543982455
1846.8,253.5171497529882,66.19229874365966,42.17753540309699,83.35507080619398
1857.6,253.91760724502183,66.187743428882,42.459590582605735,83.91918116521147
1868.4,254.3132479564116,66.18553556329981,42.739645803227006,84.47929160645401
1879.2,254.7045205381802,66.18549472918427,43.01797593773253,85.03595187546506
1890,255.09185200470938,66.18742937288947,43.29484678609935,85.5896935721987
1900.8,255.4756487501504,66.19113972353273,43.57051533895228,86.14103067790457
1911.6,255.85628986774168,66.1964220141291,43.84522451302432,86.69044902604864
1922.4,256.2341308063345,66.20306965193875,44.119205280220164,87.23841056044033
1933.2,256.6094973002064,66.21087816400203,44.39267178466903,87.78534356933805
1944,256.9826845199374,66.21964727624132,44.66582017961439,88.33164035922879
1954.8,257.35395575259975,66.22918415922042,44.93882711171908,88.87765422343816
1965.6,257.7235469312511,66.23930262905962,45.211852518748415,89.42370503749683
1976.4,258.0916637313686,66.24982675648876,45.48503699768906,89.97007399537812
